"","SAMPLE_SIZE","EFFECT_SIZE","NUM_CHUNKS","ESTIMATE_OVERALL","VI_OVERALL","ESTIMATE_CHUNKS","VI_CHUNKS"
"1",144,5,4,0.405984913264014,0.0283500824645764,0.378294801371251,0.0285539544450659
"2",144,5,8,0.405984913264014,0.0283500824645764,0.334646739904929,0.0292508759734327
"3",144,5,12,0.405984913264014,0.0283500824645764,0.29682308268478,0.0291353197139606
"4",144,5,4,0.698167711607119,0.0294702713664261,0.707457909894406,0.0296531853120022
"5",144,5,8,0.698167711607119,0.0294702713664261,0.728669279406671,0.0301717724082001
"6",144,5,12,0.698167711607119,0.0294702713664261,0.706758697239673,0.0310098255344298
"7",144,5,4,0.508169094805556,0.0286744299615121,0.510279084139591,0.0289919417285086
"8",144,5,8,0.508169094805556,0.0286744299615121,0.509454417163179,0.0293948102287987
"9",144,5,12,0.508169094805556,0.0286744299615121,0.557544622728316,0.0301672814117641
"10",144,5,4,0.381768710095783,0.0282838449583618,0.336507323275967,0.0286224103971262
"11",144,5,8,0.381768710095783,0.0282838449583618,0.344862343786218,0.0290732386985531
"12",144,5,12,0.381768710095783,0.0282838449583618,0.343213736167821,0.0291656898791985
"13",144,5,4,0.155528768825995,0.0278617680483768,0.153238021043159,0.027913217395348
"14",144,5,8,0.155528768825995,0.0278617680483768,0.139132904796964,0.0283372527493901
"15",144,5,12,0.155528768825995,0.0278617680483768,0.163524815640046,0.02854098308878
"16",144,5,4,0.575764325257828,0.0289288352716653,0.578375774930745,0.029353595570577
"17",144,5,8,0.575764325257828,0.0289288352716653,0.578701241900225,0.0293828045190373
"18",144,5,12,0.575764325257828,0.0289288352716653,0.616921550944988,0.0298634225028204
"19",144,5,4,0.648788788610137,0.0292393294868966,0.648863494887985,0.0299032531333251
"20",144,5,8,0.648788788610137,0.0292393294868966,0.701780054760548,0.0309673518939449
"21",144,5,12,0.648788788610137,0.0292393294868966,0.654648634654981,0.0321050016588614
"22",144,5,4,0.586634988884915,0.0289727104520278,0.555125996410125,0.0293179167889728
"23",144,5,8,0.586634988884915,0.0289727104520278,0.598004438128534,0.0299021854384682
"24",144,5,12,0.586634988884915,0.0289727104520278,0.631327449605195,0.0311966306668647
"25",144,5,4,0.390627073479283,0.0283076024671354,0.369022282017931,0.0287862929488864
"26",144,5,8,0.390627073479283,0.0283076024671354,0.372310207856992,0.0289267963216844
"27",144,5,12,0.390627073479283,0.0283076024671354,0.371237954637784,0.0298974056513757
"28",144,5,4,0.390801802325063,0.0283080765579879,0.418744787201694,0.0288696865256148
"29",144,5,8,0.390801802325063,0.0283080765579879,0.434837295795802,0.0301700528752483
"30",144,5,12,0.390801802325063,0.0283080765579879,0.425968959359985,0.029788712851411
"31",144,5,4,0.265076984818679,0.0280217562773631,0.272439026967115,0.028267019585186
"32",144,5,8,0.265076984818679,0.0280217562773631,0.242058290235328,0.0284330883290795
"33",144,5,12,0.265076984818679,0.0280217562773631,0.201518795302591,0.0291531037851714
"34",144,5,4,0.488570132848644,0.0286065999121935,0.476717052786021,0.0290526795273413
"35",144,5,8,0.488570132848644,0.0286065999121935,0.494574454593866,0.0294213628119328
"36",144,5,12,0.488570132848644,0.0286065999121935,0.390127601821448,0.0309022526571305
"37",144,5,4,0.348631866125642,0.0281998061738828,0.344749476134639,0.0282934955411161
"38",144,5,8,0.348631866125642,0.0281998061738828,0.367223893627914,0.0286364170486716
"39",144,5,12,0.348631866125642,0.0281998061738828,0.293530987210359,0.0294221438816795
"40",144,5,4,0.61246351606104,0.0290802484670342,0.607017716785272,0.0299540083847629
"41",144,5,8,0.61246351606104,0.0290802484670342,0.60966049436571,0.0302819399085177
"42",144,5,12,0.61246351606104,0.0290802484670342,0.608740986728881,0.0303421288441143
"43",144,5,4,0.520740244309853,0.0287193416737635,0.496925140493191,0.0289894777797324
"44",144,5,8,0.520740244309853,0.0287193416737635,0.488526503224149,0.0290722021802347
"45",144,5,12,0.520740244309853,0.0287193416737635,0.467736945659871,0.0291593960062255
"46",144,5,4,0.15702115338193,0.0278633876479493,0.156318529472524,0.0281883016666572
"47",144,5,8,0.15702115338193,0.0278633876479493,0.156587390820087,0.0287613061597464
"48",144,5,12,0.15702115338193,0.0278633876479493,0.185123005503597,0.0293951414223102
"49",144,5,4,0.476833470583284,0.0285672574953767,0.4847514197429,0.0287933774865902
"50",144,5,8,0.476833470583284,0.0285672574953767,0.470519884218914,0.0288959825847378
"51",144,5,12,0.476833470583284,0.0285672574953767,0.456495950085483,0.0291949307870154
"52",144,5,4,0.565870056550048,0.0288896143086804,0.547617708971918,0.0293603888662297
"53",144,5,8,0.565870056550048,0.0288896143086804,0.548674212800773,0.0297610960953159
"54",144,5,12,0.565870056550048,0.0288896143086804,0.575279203513636,0.0307029910016412
"55",144,5,4,0.576612206723132,0.028932227906049,0.582705503754822,0.0292022797070016
"56",144,5,8,0.576612206723132,0.028932227906049,0.578130752342654,0.0302843316889784
"57",144,5,12,0.576612206723132,0.028932227906049,0.59569462746725,0.0307722388884084
"58",144,5,4,0.461629183328577,0.0285177135517382,0.498156639998606,0.0290930804424036
"59",144,5,8,0.461629183328577,0.0285177135517382,0.4646368225068,0.0300971457841121
"60",144,5,12,0.461629183328577,0.0285177135517382,0.449943610645289,0.0298280846256888
"61",144,5,4,0.268113053213811,0.0280273771156376,0.267542839573225,0.028222960895658
"62",144,5,8,0.268113053213811,0.0280273771156376,0.278951555499671,0.0287998922182319
"63",144,5,12,0.268113053213811,0.0280273771156376,0.283706434770475,0.028924117339812
"64",144,5,4,0.319721750319143,0.0281327152695387,0.318700465530843,0.0282768273107874
"65",144,5,8,0.319721750319143,0.0281327152695387,0.309530840448469,0.0287098466418451
"66",144,5,12,0.319721750319143,0.0281327152695387,0.311624493133346,0.0294414263877007
"67",144,5,4,0.317705311423507,0.0281282523087038,0.324842818513491,0.0282265834935373
"68",144,5,8,0.317705311423507,0.0281282523087038,0.307442071250489,0.0284826658697523
"69",144,5,12,0.317705311423507,0.0281282523087038,0.296647151484503,0.0291843047759436
"70",144,5,4,0.303087829736503,0.0280967438629666,0.320413595588265,0.028540852437775
"71",144,5,8,0.303087829736503,0.0280967438629666,0.269800995686323,0.0289993267209207
"72",144,5,12,0.303087829736503,0.0280967438629666,0.272807047546393,0.0293377609229096
"73",144,5,4,0.766137966896041,0.0298158589733319,0.762196836779599,0.0298933140313139
"74",144,5,8,0.766137966896041,0.0298158589733319,0.756337757344914,0.0299133569004322
"75",144,5,12,0.766137966896041,0.0298158589733319,0.731326800920218,0.0299874914500106
"76",144,5,4,0.417472957047255,0.0283829294092562,0.41655078581769,0.0286801985316802
"77",144,5,8,0.417472957047255,0.0283829294092562,0.439107100230409,0.029601958372437
"78",144,5,12,0.417472957047255,0.0283829294092562,0.398851337909063,0.030080237473285
"79",144,5,4,0.594865796499234,0.0290064767911273,0.593436968107959,0.0291228680595476
"80",144,5,8,0.594865796499234,0.0290064767911273,0.605769672284886,0.0294694460578815
"81",144,5,12,0.594865796499234,0.0290064767911273,0.628092468985974,0.0297656864600914
"82",144,5,4,0.593133671312678,0.0289993317779335,0.626666845429519,0.029229513632404
"83",144,5,8,0.593133671312678,0.0289993317779335,0.604522691708233,0.0297376471901475
"84",144,5,12,0.593133671312678,0.0289993317779335,0.640818200723378,0.0304974467518725
"85",144,5,4,0.0367942326616771,0.0277824785262401,0.0709736051512319,0.0281482784596347
"86",144,5,8,0.0367942326616771,0.0277824785262401,0.065672193519906,0.0293048879619903
"87",144,5,12,0.0367942326616771,0.0277824785262401,0.0922802611457451,0.0293895363509957
"88",144,5,4,0.252047449314304,0.0279983608218953,0.258836473874032,0.0283033125710193
"89",144,5,8,0.252047449314304,0.0279983608218953,0.265439859972212,0.0286904233907295
"90",144,5,12,0.252047449314304,0.0279983608218953,0.282768745966968,0.0290561747133551
"91",144,5,4,0.572480146441768,0.0289157413821875,0.548864804852832,0.0292398339498905
"92",144,5,8,0.572480146441768,0.0289157413821875,0.557858807893714,0.0298384959106047
"93",144,5,12,0.572480146441768,0.0289157413821875,0.57258066821972,0.0300126765491144
"94",144,5,4,0.544407625642272,0.0288068738293662,0.548177948375969,0.0291593568789013
"95",144,5,8,0.544407625642272,0.0288068738293662,0.508841560763478,0.0297956631751752
"96",144,5,12,0.544407625642272,0.0288068738293662,0.515917782715948,0.0302858712970385
"97",144,5,4,0.553529030348438,0.0288416471786058,0.598011828903521,0.0294392929987771
"98",144,5,8,0.553529030348438,0.0288416471786058,0.565068275598868,0.0297050477353161
"99",144,5,12,0.553529030348438,0.0288416471786058,0.587954401640251,0.0297406561400984
"100",144,5,4,0.385204869493665,0.0282929958037557,0.359613138205729,0.0284363183886546
"101",144,5,8,0.385204869493665,0.0282929958037557,0.385144806795944,0.0289691882945175
"102",144,5,12,0.385204869493665,0.0282929958037557,0.390775643643238,0.0289230867852209
"103",144,5,4,0.718180115468972,0.0295686898550522,0.730971782923725,0.0298343977958876
