"","EXPERIMENT_ID","ESTIMATE","P","SAMPLE_SIZE","EFFECT_SIZE"
"1","2_2_1",0.782887534443661,1,4,2
"2","2_2_2",0.0661859976227452,1,4,2
"3","2_2_3",0.490250001557073,1,4,2
"4","2_2_4",-0.339248370881672,1,4,2
"5","2_2_5",-0.0875089156562624,1,4,2
"6","2_2_6",2.15481174715742,1,4,2
"7","2_2_7",1.34161759316514,1,4,2
"8","2_2_8",-0.544899086041734,1,4,2
"9","2_2_9",0.959765598181754,1,4,2
"10","2_2_10",-0.653647746052229,1,4,2
"11","2_2_11",0.547343500660322,1,4,2
"12","2_2_12",0.0743767070775355,1,4,2
"13","2_2_13",-2.31353345823095,1,4,2
"14","2_2_14",-3.02340984277358,1,4,2
"15","2_2_15",-0.628068322489604,1,4,2
"16","2_2_16",-0.204131577280699,1,4,2
"17","2_2_17",0.552055492621099,1,4,2
"18","2_2_18",1.50486080796895,1,4,2
"19","2_2_19",-0.823379810102975,1,4,2
"20","2_2_20",0.335568258792887,1,4,2
"21","2_2_21",0.538375807776054,1,4,2
"22","2_2_22",-0.451139238479043,1,4,2
"23","2_2_23",-1.1456234651809,1,4,2
"24","2_2_24",-0.990221515149911,1,4,2
"25","2_2_25",0.0680406160555775,1,4,2
"26","2_2_26",0.326548806997794,1,4,2
"27","2_2_27",0.674031995954273,1,4,2
"28","2_2_28",-0.677061791644806,1,4,2
"29","2_2_29",0.236808508529558,1,4,2
"30","2_2_30",0.262835190434063,1,4,2
"31","2_2_31",3.53838659235567,1,4,2
"32","2_2_32",0.354220636690127,1,4,2
"33","2_2_33",-0.591394342209478,1,4,2
"34","2_2_34",0.760311805668449,1,4,2
"35","2_2_35",-2.23158432957431,1,4,2
"36","2_2_36",0.519644336920596,1,4,2
"37","2_2_37",-8.29076137041484,1,4,2
"38","2_2_38",-1.91692459521956,1,4,2
"39","2_2_39",-2.42695074411685,1,4,2
"40","2_2_40",1.08365752949091,1,4,2
"41","2_2_41",2.80651566732986,1,4,2
"42","2_2_42",1.06089986858051,1,4,2
"43","2_2_43",-3.94864357666516,1,4,2
"44","2_2_44",-1.28740486678992,1,4,2
"45","2_2_45",-2.67969184238339,1,4,2
"46","2_2_46",1.63110063398914,1,4,2
"47","2_2_47",0.628361890513833,1,4,2
"48","2_2_48",0.153391854054363,1,4,2
"49","2_2_49",2.43147779297802,1,4,2
"50","2_2_50",-1.1988451229187,1,4,2
"51","2_2_51",0.40592456980162,1,4,2
"52","2_2_52",1.78936126032249,1,4,2
"53","2_2_53",3.2757841729299,1,4,2
"54","2_2_54",0.772349118284639,1,4,2
"55","2_2_55",0.916941824091996,1,4,2
"56","2_2_56",-0.567999649448336,1,4,2
"57","2_2_57",-20.9490110080999,1,4,2
"58","2_2_58",2.1033124935022,1,4,2
"59","2_2_59",0.787758484012789,1,4,2
